,Code,HHD,PGDP
0,AR,3.85,-2.772796841020297
1,AT,44.75,-0.16058197783733016
2,AU,109.9,0.7481790351525388
3,BE,58.75,0.9126876315968189
4,BR,34.575,1.3606322326670512
5,CA,101.85,0.38166473654962946
6,CH,127.625,0.9771121603836629
7,CL,46.1,2.8516675053103127
8,CO,27.29475,1.6993616495595776
9,CZ,30.7,0.2682065702935877
10,DE,51.625,0.04770854219917518
11,DK,86.3,1.8761003567731287
12,ES,47.7,2.2909171011094487
13,FI,63.75,-1.610255878643495
14,FR,62.975,0.8040334189379649
15,GB,80.0,0.28432054769485976
16,GR,42.25,1.2237297790815331
17,HK,94.0,2.859143085571311
18,HU,17.1,1.4950363777043192
19,ID,16.325,3.7901484671406984
20,IE,26.675,-3.0544212380553653
21,IL,42.225,-1.6994873622106592
22,IN,41.925,5.500287412408032
23,IT,38.074999999999996,0.7219748002605978
24,JP,65.55,-1.6266754135283759
25,KR,93.65,2.5276307870615593
26,LU,68.925,-0.3059791344799565
27,MX,16.3,0.793040326993592
28,NL,96.775,-0.44037639838840253
29,NO,84.35,1.2203258853260088
30,NZ,91.65,-0.1760662572539298
31,PL,23.85,2.488663486203045
32,PT,55.85,1.3558245347801936
33,SE,85.125,0.8505649582691754
34,SG,46.2,1.3643964992710094
35,TH,92.0,1.4956689490822517
36,TR,11.15,3.6862979213306426
37,US,73.025,2.3999712040530294
38,ZA,34.425,-0.03773178790129037
