TIME_PERIOD,Code,private_debt,household_debt,CPI,exchange_rate,Country,GDP,policy_rate
2008-03-31,ZA,36.1,44.4,86.26646666666666,118.82333333333332,South Africa,970544.875,11.0
2008-06-30,ZA,36.5,43.4,88.5505,113.72333333333334,South Africa,982394.125,11.666666666666666
2008-09-30,ZA,36.7,42.6,91.36163333333333,119.08333333333333,South Africa,984741.375,12.0
2008-12-31,ZA,36.8,41.8,91.94726666666668,102.33999999999999,South Africa,979135.8125,11.833333333333334
2009-03-31,ZA,37.0,41.5,93.47000000000001,106.10333333333334,South Africa,963904.875,10.5
2009-06-30,ZA,35.3,40.9,95.46116666666667,123.29666666666667,South Africa,960596.6875,8.166666666666666
2009-09-30,ZA,34.5,40.9,97.21816666666666,131.38666666666666,South Africa,962824.375,7.166666666666667
2009-12-31,ZA,34.9,40.9,97.68670000000002,133.53,South Africa,969246.125,7.0
2010-03-31,ZA,34.3,40.7,98.74083333333333,137.04666666666665,South Africa,980554.625,6.833333333333333
2010-06-30,ZA,34.1,40.2,99.73643333333332,141.27666666666667,South Africa,988785.5,6.5
2010-09-30,ZA,34.1,40.5,100.4978,143.83333333333334,South Africa,997588.125,6.333333333333333
2010-12-31,ZA,32.9,40.0,101.0249,146.83333333333334,South Africa,1006873.5,5.666666666666667
2011-03-31,ZA,32.2,39.9,102.48903333333334,143.96,South Africa,1016789.1875,5.5
2011-06-30,ZA,32.1,39.3,104.42166666666667,145.52666666666667,South Africa,1022479.8125,5.5
2011-09-30,ZA,31.7,38.6,105.94440000000002,140.63,South Africa,1026710.625,5.5
2011-12-31,ZA,31.8,38.5,107.11563333333334,128.15333333333334,South Africa,1033734.1875,5.5
2012-03-31,ZA,32.4,38.8,108.7555,135.62333333333333,South Africa,1039593.8125,5.5
2012-06-30,ZA,32.1,38.9,110.33676666666668,132.41666666666666,South Africa,1048271.6875,5.5
2012-09-30,ZA,32.9,39.1,111.39089999999999,132.03333333333333,South Africa,1052533.5,5.0
2012-12-31,ZA,32.9,39.8,113.20646666666669,124.72666666666667,South Africa,1057553.5,5.0
2013-03-31,ZA,33.5,39.8,114.9634,122.84333333333332,South Africa,1065760.25,5.0
2013-06-30,ZA,34.1,39.5,116.60323333333334,118.5,South Africa,1073512.5,5.0
2013-09-30,ZA,34.3,39.2,118.30160000000001,114.11666666666667,South Africa,1078605.75,5.0
2013-12-31,ZA,34.6,38.9,119.29719999999999,111.25999999999999,South Africa,1084412.5,5.0
2014-03-31,ZA,35.1,39.1,121.75696666666666,106.28333333333335,South Africa,1082916.75,5.5
2014-06-30,ZA,35.2,38.9,124.15813333333334,110.68333333333334,South Africa,1087190.75,5.5
2014-09-30,ZA,35.8,38.5,125.79793333333333,111.00999999999999,South Africa,1092415.5,5.75
2014-12-31,ZA,34.9,38.4,126.09073333333333,110.83666666666666,South Africa,1100595.25,5.75
2015-03-31,ZA,36.2,38.1,126.85213333333333,112.02666666666669,South Africa,1108545.375,5.75
2015-06-30,ZA,36.1,37.8,129.83896666666666,111.26666666666667,South Africa,1099186.375,5.75
2015-09-30,ZA,36.6,37.6,131.7716,106.38,South Africa,1104137.375,6.0
2015-12-31,ZA,38.1,37.7,132.18156666666667,98.79333333333334,South Africa,1108923.375,6.166666666666667
2016-03-31,ZA,39.0,37.6,135.10983333333334,91.06666666666666,South Africa,1111572.25,6.833333333333333
