TIME_PERIOD,Code,private_debt,household_debt,CPI,exchange_rate,Country,GDP
2005-03-31 00:00:00,CO,28.405,11.443,78.30636667,106.7066667,Colombia,126220160
2005-06-30 00:00:00,CO,27.723,11.937,79.64346667,108.2533333,Colombia,128798328
2005-09-30 00:00:00,CO,26.98,12.257,80.11806667,109.6166667,Colombia,128741832
2005-12-31 00:00:00,CO,26.702,12.947,80.61123333,111.2833333,Colombia,131092680
2006-03-31 00:00:00,CO,26.542,12.871,81.66223333,111.72,Colombia,133908800
2006-06-30 00:00:00,CO,27.202,13.584,82.85506667,103.89,Colombia,136130720
2006-09-30 00:00:00,CO,27.252,13.826,83.755,104,Colombia,138610272
2006-12-31 00:00:00,CO,27.497,14.248,84.0984,109.32,Colombia,140785200
2007-03-31 00:00:00,CO,27.08,14.646,85.94846667,114.2933333,Colombia,143054992
2007-06-30 00:00:00,CO,27.06,15.308,87.96893333,125.1,Colombia,145390832
2007-09-30 00:00:00,CO,27.109,15.995,88.21976667,122.3633333,Colombia,148091200
2007-12-31 00:00:00,CO,26.963,16.484,88.65953333,119.6433333,Colombia,149919968
2008-03-31 00:00:00,CO,26.691,16.155,91.1839,126.06,Colombia,150978400
2008-06-30 00:00:00,CO,26.806,16.211,93.62986667,135.33,Colombia,151442000
2008-09-30 00:00:00,CO,26.906,16.279,94.9721,128.38,Colombia,152987920
2008-12-31 00:00:00,CO,27.168,16.423,95.5582,117.5866667,Colombia,150304672
2009-03-31 00:00:00,CO,27.181,16.583,97.19396667,115.9666667,Colombia,150859504
2009-06-30 00:00:00,CO,27.583,17.125,98.09176667,121.9633333,Colombia,152548272
2009-09-30 00:00:00,CO,27.486,17.153,98.0146,130.9733333,Colombia,154017776
2009-12-31 00:00:00,CO,27.706,17.513,97.81636667,130.6633333,Colombia,155190448
2010-03-31 00:00:00,CO,27.701,17.209,99.14706667,133.7033333,Colombia,156673968
2010-06-30 00:00:00,CO,28.243,17.431,100.1509667,135.9966667,Colombia,159185568
2010-09-30 00:00:00,CO,29.139,17.973,100.2486667,143.15,Colombia,160513424
2010-12-31 00:00:00,CO,30.17,18.703,100.4533,136.37,Colombia,163778048
2011-03-31 00:00:00,CO,30.046,18.918,102.3716333,134.89,Colombia,167128896
2011-06-30 00:00:00,CO,30.142,19.351,103.1876,137.5366667,Colombia,169736032
2011-09-30 00:00:00,CO,30.203,19.753,103.7330333,138.77,Colombia,173329584
2011-12-31 00:00:00,CO,30.207,20.089,104.375,133.6466667,Colombia,174433472
2012-03-31 00:00:00,CO,29.33,20.016,105.9523667,142.5166667,Colombia,177098048
2012-06-30 00:00:00,CO,29.03,20.416,106.6492,146.4033333,Colombia,177804176
2012-09-30 00:00:00,CO,28.802,20.819,106.9225667,145.74,Colombia,177275968
2012-12-31 00:00:00,CO,29.026,21.624,107.2501333,142.79,Colombia,179236800
2013-03-31 00:00:00,CO,29.55,21.772,107.977,143.2533333,Colombia,181901184
2013-06-30 00:00:00,CO,30.555,22.426,108.8453,139.2033333,Colombia,187020400
