code,private_debt,household_debt,country,log_GDP,date,quarter,country_id,lag_GDP,lag_hhd,l_GDP_dif,hd_dif
AR,18.6,4.8000002,Argentina,12.002739,30jun2008,2008q2,Argentina,11.999153,4.6999998,.0035858154,.10000038
AR,18.4,4.6999998,Argentina,12.010381,30sep2008,2008q3,Argentina,12.002739,4.8000002,.0076417923,-.10000038
AR,18.5,4.9000001,Argentina,11.963394,31dec2008,2008q4,Argentina,12.010381,4.6999998,-.04698658,.20000029
AR,19,4.8000002,Argentina,11.926743,31mar2009,2009q1,Argentina,11.963394,4.9000001,-.036651611,-.099999905
AR,19.200001,4.8000002,Argentina,11.901865,30jun2009,2009q2,Argentina,11.926743,4.8000002,-.024877548,0
AR,18.799999,4.6999998,Argentina,11.941576,30sep2009,2009q3,Argentina,11.901865,4.8000002,.039710999,-.10000038
AR,18,4.9000001,Argentina,11.961161,31dec2009,2009q4,Argentina,11.941576,4.6999998,.019584656,.20000029
AR,17.299999,4.8000002,Argentina,11.991759,31mar2010,2010q1,Argentina,11.961161,4.9000001,.03059864,-.099999905
AR,16.9,4.6999998,Argentina,12.034186,30jun2010,2010q2,Argentina,11.991759,4.8000002,.042427063,-.10000038
AR,16.5,4.6999998,Argentina,12.039693,30sep2010,2010q3,Argentina,12.034186,4.6999998,.0055065155,0
AR,16.299999,4.8000002,Argentina,12.051433,31dec2010,2010q4,Argentina,12.039693,4.6999998,.011739731,.10000038
AR,16,4.8000002,Argentina,12.074937,31mar2011,2011q1,Argentina,12.051433,4.8000002,.023504257,0
AR,15.9,5,Argentina,12.087071,30jun2011,2011q2,Argentina,12.074937,4.8000002,.012134552,.19999981
AR,16.200001,5.0999999,Argentina,12.095275,30sep2011,2011q3,Argentina,12.087071,5,.0082035065,.099999905
AR,15.7,5.4000001,Argentina,12.093891,31dec2011,2011q4,Argentina,12.095275,5.0999999,-.0013837814,.30000019
AR,15.3,5.4000001,Argentina,12.084192,31mar2012,2012q1,Argentina,12.093891,5.4000001,-.0096988678,0
AR,15.4,5.5,Argentina,12.049311,30jun2012,2012q2,Argentina,12.084192,5.4000001,-.034881592,.099999905
AR,15.6,5.5999999,Argentina,12.079987,30sep2012,2012q3,Argentina,12.049311,5.5,.030675888,.099999905
AR,16.1,5.9000001,Argentina,12.095956,31dec2012,2012q4,Argentina,12.079987,5.5999999,.015969276,.30000019
AR,15.7,5.9000001,Argentina,12.095258,31mar2013,2013q1,Argentina,12.095956,5.9000001,-.0006980896,0
AR,15.8,5.9000001,Argentina,12.102209,30jun2013,2013q2,Argentina,12.095258,5.9000001,.0069513321,0
AR,16,5.9000001,Argentina,12.108085,30sep2013,2013q3,Argentina,12.102209,5.9000001,.0058755875,0
